"component_name","classification","batch","priority","risk_level","source_path","repo_ui_export","effort","parity_risk","is_monolith","soc_potential","soc_strategy","batch_15_candidate","refactor_potential","refactor_strategy","story_group"
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/channel/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ChannelPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/channel/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/currency/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/currency/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"CurrencyPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/currency/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-tag/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-tag/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"EmailTagPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-tag/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-template/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-template/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"EmailTemplatePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-template/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-template/tag/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"TagPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/email-template/tag/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/group/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/group/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"GroupPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/group/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/holiday-date/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/holiday-date/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"HolidayDatePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/holiday-date/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"HospitalPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/hospital/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/hospital/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/insurance/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/insurance/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"InsurancePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/insurance/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/page-management/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/page-management/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PageManagementPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/page-management/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/partner-management/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AssignPlan","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/masterdata/partner-management/detail/[id]/assign-plan.tsx","","M","LOW","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/partner-management/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PartnerManagementPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/partner-management/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product/detail/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ProductPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product-category/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product-category/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ProductCategoryPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/product-category/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/role/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/role/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"RolePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/role/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/user/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/user/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UserPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/masterdata/user/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/membership/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/membership/list/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/membership/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/membership/list/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"NotFoundPage","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/not-found.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - route boundary component; defer to Phase 05A route-focused refactor",""
"AppPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/endorsement/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/endorsement/list/detail/[id]/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/endorsement/list/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/endorsement/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/endorsement/list/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/list/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ImportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/list/import/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PendingRenewalsPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/policy/pending-renewals/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddBenefitPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/add-benefit/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPackagePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/add-package/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"BenefitList","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/product-category/[category]/detail/[id]/benefit-list.tsx","","M","LOW","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"BenefitsPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/benefits/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ChannelAddModal","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/product-category/[category]/detail/[id]/channel-add-modal.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"ChannelList","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/product-category/[category]/detail/[id]/channel-list.tsx","","M","LOW","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"DetailList","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/product-category/[category]/detail/[id]/detail-list.tsx","","M","LOW","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"DetailsPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/details/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"EditPackagePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/edit-package/[packageId]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PackageList","KEEP_APP_LOCAL","1.5","P2","LOW","src/app/product-category/[category]/detail/[id]/package-list.tsx","","M","LOW","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ProductDetailTab","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/product-category/[category]/detail/[id]/product-detail-tab.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadBenefitPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/upload-benefit/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadDetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/detail/[id]/upload-detail/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ProductCategoryPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/[category]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ProductCategoryPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/product-category/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/promotion/campaign/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/promotion/campaign/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"EditPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/promotion/campaign/edit/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"CampaignPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/promotion/campaign/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ChannelSelectionModal","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/promotion/components/channel-selection-modal.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"InsuranceSelectionModal","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/promotion/components/insurance-selection-modal.tsx","","M","MEDIUM","YES","HIGH","render-prop","SKIPPED","HIGH","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"PlanSelectionModal","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/promotion/components/plan-selection-modal.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"ProductSelectionModal","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/app/promotion/components/product-selection-modal.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - tightly coupled to route/service context; defer to Phase 05A",""
"CampaignPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/report/campaign/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"CampaignAnalyticsPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/report/campaign-analytics/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ClaimPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/report/claim/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"PerformancePage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/report/performance/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/sanction/list/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/sanction/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/sanction/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"UploadPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/sanction/list/upload/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/source/list/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/source/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/source/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"AddPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/transaction/list/add/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"DetailPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/transaction/list/detail/[id]/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ExportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/transaction/list/export/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ImportPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/transaction/list/import/import/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"ListPage","KEEP_APP_LOCAL","N/A","P3","HIGH","src/app/transaction/list/page.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"Button","KEEP_APP_LOCAL","1.5","P2","LOW","src/components/button.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"ButtonCalendar","KEEP_APP_LOCAL","1.5","P2","LOW","src/components/button-calendar.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"Calendar","KEEP_APP_LOCAL","1.5","P2","LOW","src/components/calendar.tsx","","S","LOW","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"Chart","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/components/chart.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"Datepicker","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/components/datepicker.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"DateRangePicker","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/components/date-range-picker.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"DragDropExcel","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/components/drag-drop-excel.tsx","","S","MEDIUM","YES","MEDIUM","container-shell","SKIPPED","MEDIUM","skipped - existing component already presentation-focused; no safe split found",""
"ExtendedSidemenu","SPLIT","1.5","P2","MEDIUM","src/components/extended-sidemenu.tsx","","M","MEDIUM","YES","HIGH","render-prop","DONE","HIGH","split into ExtendedSidemenuContainer + ExtendedSidemenuShell",""
"ExtendedSidemenuContainer","KEEP_APP_LOCAL","1.5","P2","MEDIUM","src/components/extended-sidemenu.tsx","","M","MEDIUM","NO","NONE","none","DONE","NONE","container frozen; delegates view rendering to shell",""
"ExtendedSidemenuShell","KEEP_APP_LOCAL","N/A","P2","MEDIUM","src/components/ExtendedSidemenuShell.tsx","","XS","MEDIUM","NO","NONE","none","DONE","NONE","none - shell extracted in Batch 1.5",""
"BrokerFeeForm","KEEP_APP_LOCAL","N/A","P3","HIGH","src/components/forms/BrokerFeeForm/index.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
"CampaignForm","KEEP_APP_LOCAL","N/A","P3","HIGH","src/components/forms/campaign-form/index.tsx","","XS","HIGH","NO","NONE","none","NO","NONE","none - no practical split boundary identified",""
